movieId	title	genres	item_id	i_genre_c	i_title_c
1	Toy Story (1995)	Animation|Children's|Comedy	1	145	2882
2	Jumanji (1995)	Adventure|Children's|Fantasy	2	115	1504
3	Grumpier Old Men (1995)	Comedy|Romance	3	206	1216
4	Waiting to Exhale (1995)	Comedy|Drama	4	185	2986
5	Father of the Bride Part II (1995)	Comedy	5	176	960
6	Heat (1995)	Action|Crime|Thriller	6	63	1278
7	Sabrina (1995)	Comedy|Romance	7	206	2448
8	Tom and Huck (1995)	Adventure|Children's	8	106	2862
9	Sudden Death (1995)	Action	9	1	2714
10	GoldenEye (1995)	Action|Adventure|Thriller	10	37	1163
11	American President, The (1995)	Comedy|Drama|Romance	11	187	123
12	Dracula: Dead and Loving It (1995)	Comedy|Horror	12	195	821
13	Balto (1995)	Animation|Children's	13	144	238
14	Nixon (1995)	Drama	14	238	2021
15	Cutthroat Island (1995)	Action|Adventure|Romance	15	29	690
16	Casino (1995)	Drama|Thriller	16	259	511
17	Sense and Sensibility (1995)	Drama|Romance	17	251	2491
18	Four Rooms (1995)	Thriller	18	295	1040
19	Ace Ventura: When Nature Calls (1995)	Comedy	19	176	39
20	Money Train (1995)	Action	20	1	1862
21	Get Shorty (1995)	Action|Comedy|Drama	21	47	1114
22	Copycat (1995)	Crime|Drama|Thriller	22	224	640
23	Assassins (1995)	Thriller	23	295	191
24	Powder (1995)	Drama|Sci-Fi	24	257	2241
25	Leaving Las Vegas (1995)	Drama|Romance	25	251	1609
26	Othello (1995)	Drama	26	238	2098
27	Now and Then (1995)	Drama	27	238	2040
28	Persuasion (1995)	Romance	28	287	2165
29	City of Lost Children, The (1995)	Adventure|Sci-Fi	29	138	580
30	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	Drama	30	238	2524
31	Dangerous Minds (1995)	Drama	31	238	708
32	Twelve Monkeys (1995)	Drama|Sci-Fi	32	257	2915
34	Babe (1995)	Children's|Comedy|Drama	33	161	212
35	Carrington (1995)	Drama|Romance	34	251	509
36	Dead Man Walking (1995)	Drama	35	238	728
37	Across the Sea of Time (1995)	Documentary	36	234	41
38	It Takes Two (1995)	Comedy	37	176	1457
39	Clueless (1995)	Comedy|Romance	38	206	601
40	Cry, the Beloved Country (1995)	Drama	39	238	681
41	Richard III (1995)	Drama|War	40	261	2372
42	Dead Presidents (1995)	Action|Crime|Drama	41	57	732
43	Restoration (1995)	Drama	42	238	2360
44	Mortal Kombat (1995)	Action|Adventure	43	2	1874
45	To Die For (1995)	Comedy|Drama	44	185	2854
46	How to Make an American Quilt (1995)	Drama|Romance	45	251	1365
47	Seven (Se7en) (1995)	Crime|Thriller	46	233	2497
48	Pocahontas (1995)	Animation|Children's|Musical|Romance	47	153	2208
49	When Night Is Falling (1995)	Drama|Romance	48	251	3034
50	Usual Suspects, The (1995)	Crime|Thriller	49	233	2955
52	Mighty Aphrodite (1995)	Comedy	50	176	1824
53	Lamerica (1994)	Drama	51	238	1582
